,0
748,"ASH1L,CBX3"
749,"JUN,MCM7"
750,"SMARCA4,ATF2"
751,"EHMT2,NFE2"
752,"GATA1,RB1"
753,"ARID3A,SMARCC2"
754,"KLF16,GABPB1"
755,"PCBP1,HNRNPK"
756,"CBX3,DNMT1"
757,"EP300,MLLT1"
758,"ATF1,CREM"
759,"FOXA1,NR3C1"
760,"TBP,UBTF"
761,"HDAC6,RCOR1"
762,"SMARCA5,FOXK2"
763,"GABPA,FOXA1"
764,"BRD4,PRDM10"
765,"RBM39,ZFP36"
766,"ATF4,FOS"
767,"SMARCA5,POLR2G"
768,"MGA,CBX3"
769,"EHMT2,SUZ12"
770,"CBX1,SIRT6"
771,"SIRT6,CBX1"
772,"PTBP1,SRSF1"
773,"SMARCA4,TBL1XR1"
774,"HDAC1,GABPB1"
775,"HDGF,YY1"
776,"SMC3,KAT8"
777,"POLR2A,SIRT6"
778,"FOS,EP300"
779,"MCM5,SIN3B"
780,"POLR3A,FOXK2"
781,"MCM2,E2F1"
782,"ATF4,EP300"
783,"ZBTB7A,HDAC2"
784,"NR2F2,GATA2"
785,"JUN,POLR2A"
786,"ZNF184,SIN3A"
787,"SMARCC2,POLR2G"
788,"UBTF,HDAC1"
789,"SUPT5H,POLR2B"
790,"ATF1,JUN"
791,"SIN3B,CDC5L"
792,"CBX5,EHMT2"
793,"DNMT1,TRIM28"
794,"CBX3,TRIM28"
795,"BRD4,NCOA2"
796,"SMARCA4,RBBP5"
797,"POLR2A,POLR2G"
798,"E2F7,TCF7"
799,"MCM3,PHF21A"
800,"FOXK2,MNT"
801,"ASH1L,SUPT5H"
802,"HDAC1,KLF16"
803,"HLTF,ASH1L"
804,"ARID3A,JUN"
805,"EP400,TAF1"
806,"NKRF,HDAC1"
807,"CREM,ASH1L"
808,"ATF1,EHMT2"
809,"CTCF,LEF1"
810,"ETV6,CEBPB"
811,"DACH1,NCOR1"
812,"ASH1L,REST"
813,"NR2F6,NCOA2"
814,"SETDB1,ZNF384"
815,"NONO,FUS"
816,"TAL1,GATA1"
817,"CBX1,CBX3"
818,"SETDB1,SIN3A"
819,"ZNF639,HDAC3"
820,"HNRNPL,PTBP1"
821,"CDC5L,TARDBP"
822,"TCF12,SMARCA5"
823,"USF1,NFYA"
824,"NR2F2,FOXA1"
825,"FOXA1,UBTF"
826,"NONO,SMARCA4"
827,"TBP,POLR3A"
828,"TAF1,STAT5A"
829,"CBX1,ASH1L"
830,"HDAC6,ZBTB7A"
831,"ESRRA,CTCF"
832,"KLF16,EHMT2"
833,"FOXM1,TCF7"
834,"SMARCA4,SMARCA5"
835,"CBX3,JUN"
836,"SIN3A,SUPT5H"
837,"ZBTB7A,NR3C1"
838,"ZBTB7A,LEF1"
839,"ASH1L,KLF16"
840,"HDAC1,GABPA"
841,"E2F7,SUZ12"
842,"SMARCA5,ARID1B"
843,"RB1,IKZF1"
844,"NCOA4,GTF2B"
845,"HNRNPUL1,SAFB"
846,"SIN3B,GATA2"
847,"SIN3A,ARID1B"
848,"TBP,SMARCB1"
849,"SETDB1,EHMT2"
850,"MAFK,HDAC2"
851,"TRIM28,NR2C1"
852,"SP1,BRD4"
853,"HNRNPK,RBFOX2"
854,"TBL1XR1,CDC5L"
855,"SETDB1,SMARCB1"
856,"CBX5,FOS"
857,"ARID2,HLTF"
858,"SP1,PML"
859,"ATF4,JUN"
860,"CDC5L,ATF3"
861,"GABPA,HCFC1"
862,"ILF3,YY1"
863,"MTA2,HDAC2"
864,"ZNF274,EHMT2"
865,"RAD21,MTA3"
866,"CBX1,POLR2A"
867,"KAT8,EHMT2"
868,"SNIP1,MAX"
869,"FOXA1,HES1"
870,"KDM1A,SMARCB1"
871,"YY1,EHMT2"
872,"DNMT1,HDAC2"
873,"POLR2B,CUX1"
874,"CEBPB,MYC"
875,"SIRT6,SIN3A"
876,"CBX5,ESRRA"
877,"HLTF,CDC5L"
878,"KLF16,BCOR"
879,"NFYB,PHF21A"
880,"PHF21A,HDAC2"
881,"HDAC3,NCOR1"
882,"SIN3A,SKIL"
883,"RB1,EGR1"
884,"SOX6,CTCF"
885,"FUS,TARDBP"
886,"MTA1,SIX5"
887,"JUN,EP300"
888,"ATF1,ASH1L"
889,"RUNX1,HDAC1"
890,"BCOR,THAP1"
891,"NR3C1,EGR1"
892,"SUPT5H,SIN3B"
893,"TARDBP,RAD21"
894,"SUPT5H,CCNT2"
895,"TCF7,SIN3B"
896,"ASH1L,HLTF"
897,"ARID2,SMARCB1"
898,"HLTF,SMARCC2"
899,"RNF2,YY1"
900,"HDAC2,MIER1"
901,"GTF3C2,MCM2"
902,"MYC,EP400"
903,"RBFOX2,HNRNPK"
904,"UBTF,PHF21A"
905,"EGR1,SMARCC2"
906,"NR3C1,ETS1"
907,"DNMT1,RB1"
908,"FOXM1,SP1"
909,"EP400,HDAC2"
910,"PML,ARID3A"
911,"EP300,EWSR1"
912,"KDM1A,EP300"
913,"FOS,AGO1"
914,"NFYA,SMARCC2"
915,"SMARCA5,TCF12"
916,"HDAC1,ZNF274"
917,"PRDM10,SIN3A"
918,"POLR2B,HLTF"
919,"SAP30,HDAC1"
920,"RBBP5,CCNT2"
921,"RUNX1,SMARCC2"
922,"SMARCB1,H2AFZ"
923,"SMARCA5,EP400"
